Day,SuicideAttemptCount,SocialMediaDiscussion
17225,7,21.264874293570724
17226,17,25.116717566915614
17227,16,66.89280100639337
17228,19,34.68779977766212
17229,22,411.15935725803075
17230,25,302.682456606513
17231,19,252.14063160039302
17232,17,143.28657349271538
17233,21,87.55534775742066
17234,19,93.53394224979567
17235,20,66.44396317808003
17236,18,37.59501439805598
17237,11,24.728237923477906
17238,18,21.12304527984734
17239,22,50.39944272493351
17240,20,39.783334428374495
17241,18,40.622693442763016
17242,27,47.56131189960598
17243,27,36.592607152460616
17244,28,84.3619281725469
17245,12,44.55797266499773
17246,17,45.32893529209528
17247,15,53.729432739219476
17248,23,158.66822038446503
17249,16,92.32222842728632
17250,12,47.380638519783275
17251,18,149.32102291821724
17252,15,76.51148963812125
17253,23,95.0843535021485
17254,19,61.466446583177074
17255,14,41.80118435012612
17256,14,51.16337647982807
17257,18,38.35343830826705
17258,15,27.536773750061215
17259,15,18.115560149781825
17260,18,16.937066260272694
17261,15,39.88880335780057
17262,19,62.0735958617063
17263,20,60.77814907131227
17264,18,49.34686667799466
17265,14,34.725834894339634
17266,20,80.08265237267005
17267,21,59.582356202345295
17268,16,36.82712540919449
17269,18,43.26648212490654
17270,20,41.719897182410676
17271,17,27.797335094035724
17272,17,19.158709307938622
17273,17,35.936090080442455
17274,23,422.4766048817752
17275,16,234.3212997643657
17276,10,119.90607438254578
17277,25,70.26428854296387
17278,18,43.53108689569675
17279,17,28.95756038630092
17280,16,27.618939407436333
17281,20,29.70564769046124
17282,20,83.18160596882774
17283,20,46.15066756040373
17284,19,46.281684252165704
17285,14,55.88108958959079
17286,21,55.053410367211185
17287,14,58.665623557890775
17288,21,37.72153875080311
17289,15,38.99955408224265
17290,17,69.8820198647189
17291,20,205.024988108727
17292,11,109.00148779559477
17293,15,85.56756525101743
17294,20,56.5155920574546
17295,17,41.36745614953696
17296,18,44.446833925047834
17297,19,29.205542774430842
17298,22,28.39001862392951
17299,16,60.69218975548361
17300,10,226.0754667802749
17301,17,124.6555460006564
17302,19,83.94994851767936
17303,15,82.52492387928679
17304,16,71.4884676524022
17305,15,208.14604212283425
17306,11,118.96219067290984
17307,20,114.80459661912721
17308,14,70.98981863320274
17309,17,66.32144025483764
17310,16,35.06898023227401
17311,15,27.673025977359387
17312,23,21.295255355092763
17313,20,57.997082972358896
17314,11,306.7244405361591
17315,28,251.41975830445188
17316,19,223.3656581104668
17317,16,122.58670057165149
17318,19,75.71063290071709
17319,17,59.407063757401886
17320,16,42.088697897024765
17321,18,24.404126485511345
17322,17,50.49247760258877
17323,12,35.383135491980404
17324,16,57.77915886836506
17325,19,107.81771248319808
17326,16,112.98959058761525
17327,22,86.35149325901297
17328,23,82.80558072919392
17329,21,126.20006296371837
17330,17,74.1058297382771
17331,19,81.54524558300972
17332,14,58.07660157003645
17333,15,92.9965400976825
17334,18,53.10672977004041
17335,10,37.94494335124218
17336,12,44.587657497146374
17337,25,38.18446862656021
17338,22,33.727796352684194
17339,33,42.68951992202969
17340,16,22.99931410575306
17341,26,28.760365637361236
17342,14,37.18178115228983
17343,20,74.4363173713441
17344,18,53.503489257678716
17345,15,47.40543070129728
17346,20,46.67714590464925
17347,21,63.08341285098432
17348,19,45.992615878686955
17349,17,40.96779225181469
17350,13,49.44792475853904
17351,14,107.17183037685415
17352,16,125.59955854888
17353,21,87.96274852575024
17354,13,59.46722522219412
17355,18,37.22284488783207
17356,19,46.23070229561516
17357,19,55.59221477697314
17358,17,48.55233824168043
17359,20,71.34317442836301
17360,22,61.70956634037426
17361,19,49.88780079089356
17362,10,58.587004307374485
17363,11,60.51679529053651
17364,13,63.6621176874275
17365,24,44.23799659776057
17366,17,31.311518880307272
17367,20,32.549989698891906
17368,16,20.926749452194567
17369,15,15.118187046319886
17370,16,13.483047740776701
17371,23,54.93355562392254
17372,18,34.1579223679572
17373,15,130.5590301918497
17374,26,113.74372636894078
17375,21,62.58326136096739
17376,15,58.95702637583209
17377,22,52.00949237205576
17378,19,30.439588627570338
17379,25,45.8272846248682
17380,16,40.93254319265337
17381,24,33.724156811399055
17382,15,21.24739452240175
17383,20,26.12983522533791
17384,23,28.636934764659333
17385,18,121.92790655714181
17386,21,66.06537954775233
17387,19,42.979821269375655
17388,18,27.11124430341545
17389,24,29.78688937848621
17390,16,21.247593157123223
17391,23,154.81043060041387
17392,15,103.44962333329289
17393,15,88.50562297180983
17394,12,49.671095359579894
17395,22,34.054506250346805
17396,24,57.47470596071203
17397,18,38.743881061143114
17398,15,22.412458352423325
17399,21,48.1796600080634
17400,13,46.98185806413246
17401,24,122.77695729243761
17402,23,86.21062287027544
17403,18,47.52064995317244
17404,14,46.01441863827628
17405,21,45.318422007147085
17406,28,60.58239856478028
17407,18,48.15355192195601
17408,16,28.13461545229453
17409,26,116.174509926026
17410,18,61.34764135031183
17411,25,76.05075246348486
17412,26,75.81278639841405
17413,26,46.53063577278183
17414,16,41.82635759084854
17415,26,47.737438771154
17416,27,56.560569632927375
17417,27,56.70814001938288
17418,22,48.57836048165642
17419,15,55.22980808432748
17420,18,65.72195147705868
17421,16,66.76160067268111
17422,13,36.11444466642526
17423,20,42.899684960293385
17424,19,35.51675541106784
17425,21,143.04077204695102
17426,14,76.8286187898716
17427,16,86.78574529875965
17428,19,85.89458144149125
17429,21,57.6833311817977
17430,18,88.47662240537377
17431,20,50.1971471938853
17432,18,63.561017179659444
17433,17,50.076336865497986
17434,19,33.929398253071206
17435,19,33.09758103360655
17436,22,95.98472573330604
17437,24,75.96579834016089
17438,21,56.73700310726548
17439,15,62.8997061636332
17440,14,43.18876561142217
17441,16,45.00083127874663
17442,23,40.36912907944158
17443,20,35.8512736454706
17444,20,48.593467407840556
17445,14,52.31298074653747
17446,16,32.090759446536474
17447,13,25.385203376127194
17448,19,22.585820228206913
17449,13,17.376653116125784
17450,23,35.20577533171188
17451,17,26.450583581267633
17452,18,30.656970897822802
17453,16,32.31412804558038
17454,17,23.945911965551428
17455,11,32.631348750088335
17456,23,70.22637332154284
17457,13,47.992497681737206
17458,21,47.34159802412033
17459,22,37.0108387452815
17460,26,110.86724021662235
17461,22,85.43726481390999
17462,16,56.794130190244125
17463,21,40.95554785444165
17464,27,41.84260655097934
17465,23,37.845342257552375
17466,21,33.338023728787746
17467,13,51.63285684087535
17468,24,55.093105866773804
17469,24,77.80787701936126
17470,16,55.11579196456027
17471,13,29.007061702098397
17472,17,88.32740834655615
17473,14,55.92777742141406
17474,17,46.69844906360472
17475,20,49.72150601841946
17476,23,53.41243478555474
17477,21,92.51324270640492
17478,15,60.35352101926691
17479,20,44.04479768663871
17480,18,25.681387279454203
17481,17,57.59637549005177
17482,17,60.6634251748105
17483,18,58.44682052225545
17484,17,30.08172474231707
17485,16,49.92104792346895
17486,11,42.841638338672354
17487,23,31.89032323404676
17488,25,67.20526074359393
17489,20,88.40632305518967
17490,12,58.12411692140071
17491,16,51.72806526469631
17492,14,68.87616026138733
17493,18,57.60647946538298
17494,18,65.75677405784327
17495,26,77.5677176698959
17496,15,107.00359148202317
17497,16,59.56781400775863
17498,21,72.25214136905339
17499,16,61.03761151155701
17500,22,50.75935637084007
17501,14,51.536721755591515
17502,20,44.04168152278451
17503,20,40.618368666321764
17504,26,96.1408959080689
17505,17,67.63568262033074
17506,19,73.26743643373294
17507,24,112.40725102901426
17508,13,69.236494408959
17509,26,77.11492325003562
17510,21,51.59837477126314
17511,19,43.68532184234355
17512,20,47.72996890120571
17513,17,43.5845299753103
17514,21,59.1340460160802
17515,15,38.38228485882303
17516,19,44.719414619998204
17517,22,71.79917555908037
17518,19,46.59761693406448
17519,16,50.56187290542618
17520,16,27.390484261450613
17521,14,67.77835479128362
17522,16,39.86421304132936
17523,15,27.377790207114085
17524,26,24.840805665912615
17525,21,25.370262049728943
17526,21,24.100445284885126
17527,25,34.70942327801568
17528,15,22.02936752407824
17529,21,71.53705637544451
17530,15,41.730592176176884
17531,20,26.856145709075395
17532,20,20.662199685093547
17533,27,124.70631081288586
17534,31,154.99522950707126
17535,18,103.27868582824819
17536,18,77.09354233070532
17537,19,47.39200734119439
17538,23,46.89823878035644
17539,18,42.60962419648789
17540,11,53.38546871645801
17541,19,49.72086463702359
17542,22,68.78521748785951
17543,19,92.28098746981658
17544,12,53.523545496074775
17545,14,31.398477226595404
17546,15,38.55409181555038
17547,20,39.85751401538424
17548,17,55.92885125014693
17549,15,45.82416822336289
17550,21,40.960142638359144
17551,26,55.547040425202866
17552,26,59.503882936161865
17553,20,87.59476758565125
17554,18,61.27628958119064
17555,11,43.970880350995955
17556,9,27.515203207573023
17557,18,53.48808216006427
17558,15,32.18551207200049
17559,22,62.67831786829984
17560,11,31.95126861695691
17561,17,55.01909638403248
17562,23,53.972424048349076
17563,15,48.21536694621078
17564,18,43.02435663023096
17565,20,47.563966802784066
17566,16,38.938167906244715
17567,26,60.08351238095317
17568,14,35.69903113087935
17569,13,29.794474906162943
17570,22,37.08176454738472
17571,19,50.05272632850372
17572,16,63.4665675032816
17573,20,42.76314590821857
17574,12,25.338176201420307
17575,21,74.77318219422793
17576,17,119.05305717522232
17577,17,71.62663334897327
17578,19,78.82279701441149
17579,19,49.95220193213581
17580,20,34.872086816216544
17581,25,281.37341309555546
17582,7,161.64907008849912
17583,18,95.36843939220849
17584,19,110.93957201957167
17585,26,83.3963692751535
17586,17,59.275548187789894
17587,19,37.793179652460765
17588,20,144.57086068115046
17589,14,108.49020941215261
17590,26,75.36860242936186
17591,19,50.78026265771362
17592,18,29.771831378621272
17593,21,49.777144588037686
17594,16,27.7822535906453
17595,12,25.643270225808024
17596,18,36.36850176097689
17597,19,26.64097141955583
17598,23,330.0022192374643
17599,20,172.3396160000093
17600,13,161.2937758240747
17601,12,98.7579298029342
17602,18,52.95211936074405
17603,17,56.460898131591584
17604,17,35.8623674793723
17605,18,34.87697037040102
17606,17,32.22947046231518
17607,21,70.64167716252899
17608,15,122.02774377790841
17609,14,73.43640102110159
17610,19,48.71210539807927
17611,11,37.18954467996138
17612,21,86.23973316425506
17613,22,71.90124025722349
17614,20,45.080816546910675
17615,19,29.49765742006678
17616,20,47.50295215231348
17617,21,42.525729249908395
17618,16,31.115524871479728
17619,13,18.292999157710405
17620,27,45.73767286463563
17621,21,39.185846881347686
17622,14,63.76617097728462
17623,19,67.13116624936355
17624,25,63.28936740974981
17625,22,73.57815835347056
17626,20,72.4551770103288
17627,18,96.4440031096986
17628,22,61.71907044918539
17629,20,141.6405033798892
17630,25,110.41431693627197
17631,14,59.14980313505262
17632,12,95.93613120902282
17633,23,55.1473550340749
17634,19,48.516707145308565
17635,15,274.86613994421356
17636,15,202.75761912872665
17637,20,138.77063771870422
17638,12,109.88244130194822
17639,12,58.89123016436961
